subject,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s011,0.0837,0.1425,0.0588,0.0977,0.1041,0.0064,0.089,0.1286,0.0396,0.0758,0.1579,0.0821,0.1072,0.2617,0.1545,0.1196,0.16,0.0404,0.0883,0.0838,-0.0045,0.1281,0.1086,-0.0195,0.1122,0.0847,-0.0275,0.0795,0.1488,0.0693,0.0993
s028,0.0652,0.1443,0.0791,0.0657,0.1188,0.0531,0.0671,0.0758,0.0087,0.0673,0.3597,0.2924,0.0502,0.3622,0.312,0.0681,0.3511,0.283,0.0462,0.0703,0.0241,0.0713,0.0964,0.0251,0.0557,0.1686,0.1129,0.0639,0.2575,0.1936,0.0689
s005,0.075,0.2488,0.1738,0.1024,0.1869,0.0845,0.0874,0.1779,0.0905,0.1138,0.3175,0.2037,0.1296,0.4741,0.3445,0.1415,0.3896,0.2481,0.0763,0.1867,0.1104,0.1217,0.1917,0.07,0.0697,0.2032,0.1335,0.0784,0.3535,0.2751,0.0837
s018,0.0816,0.1438,0.0622,0.0826,0.0903,0.0077,0.0668,0.1069,0.0401,0.0301,0.1452,0.1151,0.1066,0.2676,0.161,0.107,0.2361,0.1291,0.0813,0.0986,0.0173,0.114,0.0734,-0.0406,0.1389,0.0541,-0.0848,0.127,0.2414,0.1144,0.0816
s050,0.0755,0.1445,0.069,0.0591,0.1356,0.0765,0.0697,0.0758,0.0061,0.0731,0.2292,0.1561,0.048,0.3124,0.2644,0.1132,0.1409,0.0277,0.0773,0.1473,0.07,0.1267,0.0779,-0.0488,0.1087,0.2442,0.1355,0.0863,0.2436,0.1573,0.072
s036,0.0496,0.8654,0.8158,0.0493,0.5583,0.509,0.0449,0.3532,0.3083,0.0507,0.3526,0.3019,0.0472,0.7071,0.6599,0.0367,0.6707,0.634,0.0441,0.28,0.2359,0.0454,0.4909,0.4455,0.0375,0.5702,0.5327,0.0348,0.9308,0.896,0.0348
s028,0.0597,0.171,0.1113,0.0539,0.1072,0.0533,0.062,0.0834,0.0214,0.0518,0.459,0.4072,0.0475,0.3799,0.3324,0.0607,0.299,0.2383,0.0533,0.1239,0.0706,0.0623,0.1326,0.0703,0.0578,0.1924,0.1346,0.0475,0.1849,0.1374,0.056
s050,0.0733,0.1268,0.0535,0.0496,0.2477,0.1981,0.067,0.1425,0.0755,0.0768,0.2445,0.1677,0.0628,0.2818,0.219,0.1019,0.1381,0.0362,0.0778,0.1359,0.0581,0.1047,0.1087,0.004,0.0726,0.1944,0.1218,0.0818,0.2259,0.1441,0.0902
s011,0.0763,0.1251,0.0488,0.1138,0.131,0.0172,0.0879,0.1813,0.0934,0.1687,0.2806,0.1119,0.1048,0.2733,0.1685,0.1312,0.2545,0.1233,0.1343,0.0977,-0.0366,0.1349,0.1455,0.0106,0.1164,0.0905,-0.0259,0.146,0.1757,0.0297,0.1705
s049,0.0733,0.3132,0.2399,0.124,0.1955,0.0715,0.0665,0.1865,0.12,0.0984,0.2582,0.1598,0.096,0.5467,0.4507,0.0966,0.151,0.0544,0.0744,0.1671,0.0927,0.1263,0.1994,0.0731,0.0781,0.3228,0.2447,0.0702,0.7507,0.6805,0.0707
s049,0.1018,0.3813,0.2795,0.1208,0.264,0.1432,0.0301,0.1475,0.1174,0.143,0.2923,0.1493,0.0963,2.5228,2.4265,0.1143,0.4711,0.3568,0.1042,0.2053,0.1011,0.1593,0.2234,0.0641,0.0681,0.3534,0.2853,0.0726,0.5263,0.4537,0.0654
s035,0.0586,0.3407,0.2821,0.0971,0.1219,0.0248,0.0509,0.0905,0.0396,0.1219,0.1065,-0.0154,0.0916,0.3209,0.2293,0.1093,0.1238,0.0145,0.076,0.1117,0.0357,0.0992,0.0879,-0.0113,0.077,0.1311,0.0541,0.082,0.2246,0.1426,0.076
s019,0.0784,0.3121,0.2337,0.0974,0.2806,0.1832,0.0673,0.0731,0.0058,0.0919,0.2787,0.1868,0.0795,0.4475,0.368,0.1341,0.2714,0.1373,0.0948,0.0727,-0.0221,0.1124,0.1618,0.0494,0.0797,0.2504,0.1707,0.0839,0.4612,0.3773,0.1262
s024,0.0504,0.2828,0.2324,0.057,0.1592,0.1022,0.0547,0.1001,0.0454,0.051,0.588,0.537,0.0375,0.4571,0.4196,0.0496,0.2722,0.2226,0.0291,0.0812,0.0521,0.0808,0.1133,0.0325,0.0552,0.2151,0.1599,0.0518,0.2372,0.1854,0.0737
s038,0.0654,0.2745,0.2091,0.057,0.0834,0.0264,0.0562,0.1765,0.1203,0.0654,0.9688,0.9034,0.0562,0.5761,0.5199,0.0578,1.0391,0.9813,0.0103,0.1264,0.1161,0.0905,0.1014,0.0109,0.0596,0.2442,0.1846,0.0689,0.828,0.7591,0.0536
s016,0.0832,0.2296,0.1464,0.0681,0.2658,0.1977,0.0892,0.1578,0.0686,0.108,0.2531,0.1451,0.0694,0.6822,0.6128,0.0972,0.1653,0.0681,0.0795,0.1601,0.0806,0.1011,0.1049,0.0038,0.0887,0.1863,0.0976,0.095,0.2538,0.1588,0.0913
s016,0.104,0.4269,0.3229,0.0549,0.2185,0.1636,0.0409,0.0779,0.037,0.1072,0.4671,0.3599,0.0752,0.612,0.5368,0.1165,0.1545,0.038,0.0919,0.1714,0.0795,0.1082,0.0871,-0.0211,0.1291,0.1808,0.0517,0.1146,0.5874,0.4728,0.0942
s042,0.0752,0.2668,0.1916,0.0578,0.1591,0.1013,0.0683,0.1411,0.0728,0.0715,0.2629,0.1914,0.0562,0.2939,0.2377,0.0657,0.1644,0.0987,0.0952,0.1003,0.0051,0.0699,0.1522,0.0823,0.1701,0.1147,-0.0554,0.12,0.2773,0.1573,0.1205
s016,0.1082,0.3686,0.2604,0.0684,0.1494,0.081,0.0945,0.1536,0.0591,0.1169,0.4615,0.3446,0.0839,0.6677,0.5838,0.098,0.1719,0.0739,0.104,0.1761,0.0721,0.1404,0.189,0.0486,0.1066,0.1995,0.0929,0.1135,0.2519,0.1384,0.1003
s007,0.0768,0.1699,0.0931,0.066,0.085,0.019,0.0618,0.1062,0.0444,0.0747,0.351,0.2763,0.061,0.311,0.25,0.0652,0.1342,0.069,0.0723,0.0962,0.0239,0.0995,0.1149,0.0154,0.122,0.1032,-0.0188,0.1003,0.2129,0.1126,0.0871
s020,0.1196,0.2003,0.0807,0.1167,0.1795,0.0628,0.1344,0.1397,0.0053,0.1296,0.2412,0.1116,0.0686,0.3371,0.2685,0.0914,0.1366,0.0452,0.1185,0.1537,0.0352,0.1314,0.1705,0.0391,0.1549,0.1166,-0.0383,0.122,0.2063,0.0843,0.1011
s028,0.0774,0.1481,0.0707,0.0541,0.1035,0.0494,0.057,0.0657,0.0087,0.0578,0.509,0.4512,0.0586,0.3793,0.3207,0.0686,0.2883,0.2197,0.0454,0.0658,0.0204,0.0626,0.1595,0.0969,0.0589,0.2344,0.1755,0.0449,0.2319,0.187,0.0531
s035,0.0509,0.2726,0.2217,0.0823,0.1628,0.0805,0.0457,0.1544,0.1087,0.1224,0.2102,0.0878,0.086,0.6064,0.5204,0.1201,0.1486,0.0285,0.052,0.0977,0.0457,0.0992,0.1169,0.0177,0.0757,0.1775,0.1018,0.0631,0.256,0.1929,0.0755
